path,tenant,owner,confidentiality,effective_from,effective_to,source_url,description
documents/cisa_kev/cve-2026-20122_cisco_catalyst-sd-wan-manger.md,default,cisa-kev,public,2026-04-20,2026-04-23,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-20122: Cisco Catalyst SD-WAN Manger.
documents/cisa_kev/cve-2026-20133_cisco_catalyst-sd-wan-manager.md,default,cisa-kev,public,2026-04-20,2026-04-23,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-20133: Cisco Catalyst SD-WAN Manager.
documents/cisa_kev/cve-2025-2749_kentico_kentico-xperience.md,default,cisa-kev,public,2026-04-20,2026-05-04,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2025-2749: Kentico Kentico Xperience.
documents/cisa_kev/cve-2023-27351_papercut_ng-mf.md,default,cisa-kev,public,2026-04-20,2026-05-04,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2023-27351: PaperCut NG/MF.
documents/cisa_kev/cve-2025-48700_synacor_zimbra-collaboration-suite-zcs.md,default,cisa-kev,public,2026-04-20,2026-04-23,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2025-48700: Synacor Zimbra Collaboration Suite (ZCS).
documents/cisa_kev/cve-2026-20128_cisco_catalyst-sd-wan-manager.md,default,cisa-kev,public,2026-04-20,2026-04-23,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-20128: Cisco Catalyst SD-WAN Manager.
documents/cisa_kev/cve-2025-32975_quest_kace-systems-management-appliance-sma.md,default,cisa-kev,public,2026-04-20,2026-05-04,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2025-32975: Quest KACE Systems Management Appliance (SMA).
documents/cisa_kev/cve-2024-27199_jetbrains_teamcity.md,default,cisa-kev,public,2026-04-20,2026-05-04,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2024-27199: JetBrains TeamCity.
documents/cisa_kev/cve-2026-34197_apache_activemq.md,default,cisa-kev,public,2026-04-16,2026-04-30,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-34197: Apache ActiveMQ.
documents/cisa_kev/cve-2009-0238_microsoft_office.md,default,cisa-kev,public,2026-04-14,2026-04-28,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2009-0238: Microsoft Office.
